Books,Author,Date,
Skin Trade , Laurell K. Hamilton ," June 21, 2009",
Skipping Christmas , John Grisham ," December 9, 2001",
Sleeping Beauties , Stephen King and Owen King ," October 15, 2017",
Sleeping Murder , Agatha Christie ," November 7, 1976",
Slow Waltz in Cedar Bend , Robert James Waller ," November 14, 1993",
Small Great Things , Jodi Picoult ," October 30, 2016",
Smiley's People , John le Carré ," January 20, 1980",
Smoke Screen , Sandra Brown ," August 31, 2008",
Smokin' Seventeen , Janet Evanovich ," July 10, 2011",
So Little Time , John P. Marquand ," September 6, 1943",
So Red the Rose , Stark Young ," August 6, 1934",
So Well Remembered , James Hilton ," September 23, 1945",
Sole Survivor , Dean R. Koontz ," March 2, 1997",
Something Happened , Joseph Heller ," February 9, 1975",
Something of Value , Robert Ruark ," July 3, 1955",
Song of Susannah , Stephen King ," June 27, 2004",
Sons , Pearl S. Buck ," October 3, 1932",
Sophie's Choice , William Styron ," July 22, 1979",
South of Broad , Pat Conroy ," August 30, 2009",
Southern Cross , Patricia Cornwell ," January 31, 1999",
Space , James Michener ," October 10, 1982",
Sparkenbroke , Charles Morgan ," April 27, 1936",
Special Delivery , Danielle Steel ," July 20, 1997",
Star , Danielle Steel ," February 26, 1989",
Star Wars Episode I ,, The Phantom Menace - Terry Brooks (Lucas/Ballantine) ,
Star Wars: The Force Awakens , Alan Dean Foster ," January 24, 2016",
Stars on the Sea , F. Van Wyck Mason ," June 10, 1940",
Starting Now , Debbie Macomber ," April 21, 2013",
Stay Close , Harlan Coben ," April 8, 2012",
Step On a Crack , James Patterson and Michael Ledwidge ," February 25, 2007",
Stolen Prey , John Sandford ," June 3, 2012",
Stone Cold , David Baldacci ," November 25, 2007",
Storm Front , John Sandford ," October 27, 2013",
Strange Fruit , Lillian Smith ," April 16, 1944",Random House) 
Sundays At Tiffany's , James Patterson and Gabrielle Charbonnet ," May 18, 2008",
Suzanne's Diary for Nicholas , James Patterson ," August 5, 2001",
Swimsuit , James Patterson and Maxine Paetro ," July 19, 2009",
Sycamore Row , John Grisham ," November 10, 2013",
T Is For Trespass , Sue Grafton ," December 23, 2007",
Tailspin , Sandra Brown ," August 26, 2018",
Takedown Twenty , Janet Evanovich ," December 8, 2013",
Taken , Robert Crais ," February 12, 2012",
Taltos , Anne Rice ," October 16, 1994",
Ten Big Ones , Janet Evanovich ," July 11, 2004",
Tender Is the Night , F. Scott Fitzgerald ," May 7, 1934",
Texas , James Michener ," October 13, 1985",
Texas Ranger , James Patterson and Andrew Bourelle ," September 2, 2018",
The 17th Suspect , James Patterson and Maxine Paetro ," May 20, 2018",
The 5th Horseman , James Patterson and Maxine Paetro ," March 5, 2006",
The 6th Target , James Patterson and Maxine Paetro ," May 27, 2007",
The 8th Confession , James Patterson and Maxine Paetro ," May 17, 2009",
The 9th Judgment , James Patterson and Maxine Paetro ," May 16, 2010",
The Affair , Lee Child ," October 16, 2011",
The Agony and the Ecstasy , Irving Stone ," April 23, 1961",
The Alibi , Sandra Brown ," September 19, 1999",
The Appeal , John Grisham ," February 17, 2008",
The Aquitaine Progression , Robert Ludlum ," March 11, 1984",
The Arrangement , Elia Kazan ," March 26, 1967",
The Associate , John Grisham ," February 15, 2009",
The Bad Place , Dean R. Koontz ," February 4, 1990",
The Ballad and the Source , Rosamond Lehmann ," April 29, 1945",
The Bazaar of Bad Dreams , Stephen King ," November 22, 2015",
The Beach House , James Patterson and Peter de Jonge ," June 30, 2002",
The Bear and the Dragon , Tom Clancy ," September 10, 2000",
The Beloved Returns , Thomas Mann ," September 9, 1940",
The Best of Me , Nicolas Sparks ," October 30, 2011",
The Big Fisherman , Lloyd C. Douglas ," December 19, 1948",
The Black Book , James Patterson and David Ellis ," April 16, 2017",
The Black Rose , Thomas Costain ," October 7, 1945",
The Black Widow , Daniel Silva ," July 31, 2016",
The Bonfire of the Vanities , Tom Wolfe ," January 24, 1988",
The Book of Fate , Brad Meltzer ," September 24, 2006",
The Book of Life , Deborah Harkness ," August 3, 2014",
The Bourne Identity , Robert Ludlum ," March 23, 1980",
The Bourne Supremacy , Robert Ludlum ," March 9, 1986",
The Bourne Ultimatum , Robert Ludlum ," March 18, 1990",
The Brass Verdict , Michael Connelly ," November 2, 2008",
The Brethren , John Grisham ," February 20, 2000",
The Bridges of Madison County , Robert James Waller ," January 31, 1993",
The Broker , John Grisham ," January 30, 2005",
The Burden of Proof , Scott Turow ," June 17, 1990",
The Caine Mutiny , Herman Wouk ," August 12, 1951",
The Cardinal , Henry Morton Robinson ," April 30, 1950",
The Cardinal and the Kremlin , Tom Clancy ," August 7, 1988",
The Cast , Danielle Steel ," June 3, 2018",
The Casual Vacancy , J.K. Rowling ," October 14, 2012",
The Celestine Prophecy , James Redfield ," April 3, 1994",
The Chamber , John Grisham ," June 12, 1994",
The Children of the Hurin , J.R.R. Tolkien ," May 6, 2007",
The Chosen , Chiam Potok ," October 1, 1967",
The Christmas Box , Richard Paul Evans ," December 17, 1995",
The Christmas Sweater , Glenn Beck with Kevin Balfe and Jason Wright ," November 30, 2008",
The Cider House Rules , John Irving ," June 16, 1985",
The Citadel , A.J. Cronin ," October 4, 1937",
The City of Mirrors , Justin Cronin ," June 12, 2016",
The Client , John Grisham ," March 21, 1993",
The Closers , Michael Connelly ," June 5, 2005",
The Collector , Nora Roberts ," May 4, 2014",
The Confession , John Grisham ," November 14, 2010",
The Confessions of Nat Turner , William Styron ," November 5, 1967",
The Corrections , Jonathan Franzen ," October 14, 2001",
The Covenant , James Michener ," November 2, 1980",
The Cuban Affair , Nelson DeMille ," October 8, 2017",
The Cuckoo's Calling , Robert Galbraith ," August 11, 2013",
The Cutthroat , Clive Cussler and Justin Scott ," April 2, 2017",
The Da Vinci Code , Dan Brown ," April 6, 2003",
The Dark Half , Stephen King ," November 5, 1989",
The Dark Tower , Stephen King ," October 10, 2004",
The Day of the Jackal , Frederick Forsyth ," October 17, 1971",
The Dead Zone , Stephen King ," October 14, 1979",
The Deep End of the Ocean , Jacquelyn Mitchard ," October 6, 1996",
The Defector , Daniel Silva ," August 9, 2009",
The Diary of Ellen Rimbauer , Joyce Reardon ," February 17, 2002",
The Disappeared , C.J. Box ," April 15, 2018",
The Disenchanted , Budd Schulberg ," December 3, 1950",
The Doctor , Mary Roberts Rinehart ," June 8, 1936",
The Drop , Michael Connelly ," December 18, 2011",
The Egyptian , Mika Waltari ," October 30, 1949",
The Eighth Day , Thornton Wilder ," June 4, 1967",
The Emperor's Revenge , Clive Cussler and Boyd Morrison ," June 19, 2016",
The End of Desire , Robert Herrick ," February 8, 1932",
The English Girl , Daniel Silva ," August 4, 2013",
The English Spy , Daniel Silva ," July 19, 2015",
The Escape , David Baldacci ," December 7, 2014",
The Establishment , Howard Fast ," October 28, 1979",
The Exorcist , William Peter Blatty ," July 25, 1971",
The Eyes of the Dragon , Stephen King ," February 1, 1987",
The Fall of Gondolin , J.R.R. Tolkien ," September 16, 2018",
The Fallen , David Baldacci ," May 6, 2018",
The Fallen Angel , Daniel Silva ," August 5, 2012",
The Fifth Witness , Michael Connelly ," April 24, 2011",
The Fireman , Joe Hill ," June 5, 2016",
The First Phone Call From Heaven , Mitch Albom ," December 1, 2013",
The Five People You Meet In Heaven , Mitch Albom ," October 12, 2003",
The Fix , David Baldacci ," May 7, 2017",
The Force Unleashed , Sean Williams ," September 7, 2008",
The Forty Days of Musa Dagh , Franz Werfel ," December 10, 1934",
The Fountain , Charles Morgan ," June 13, 1932",
The Fourth Hand , John Irving ," July 29, 2001",
The Fourth Protocol , Frederick Forsyth ," September 16, 1984",
The French Lieutenant's Woman , John Fowles ," February 8, 1970",
The Gabriel Hounds , Mary Stewart ," October 29, 1967",
The Gangster , Clive Cussler and Justin Scott ," March 20, 2016",
The Gate House , Nelson DeMille ," November 16, 2008",
The Gathering Storm , Robert Jordan and Brandon Sanderson ," November 15, 2009",
The Ghost , Danielle Steel ," November 30, 1997",
The Gift , Danielle Steel ," August 7, 1994",
The Girl In the Spider's Web , David Lagercrantz ," September 20, 2015",
The Girl on the Train , Paula Hawkins ," February 8, 2015",
The Girl Who Kicked the Hornet's Nest , Stieg Larsson ," June 13, 2010",
The Girl Who Loved Tom Gordon , Stephen King ," May 2, 1999",
The Girl Who Played With Fire , Stieg Larsson ," August 16, 2009",
The Glass Blowers , Daphne du Maurier ," May 19, 1963",
The Godfather , Mario Puzo ," September 21, 1969",
The Goldfinch , Donna Tartt ," January 19, 2014",
The Good Earth , Pearl S. Buck ," May 16, 1932",
The Grapes of Wrath , John Steinbeck ," May 1, 1939",
The Great Alone , Kristin Hannah ," February 25, 2018",
The Green Years , A.J. Cronin ," December 31, 1944",
The Group , Mary McCarthy ," October 6, 1963",
The Harbourmaster , William McFee ," January 11, 1932",
The Haunted Mesa , Louis L'Amour ," May 31, 1987",
The Heist , Daniel Silva ," August 10, 2014",
The Help , Kathryn Stockett ," January 24, 2010",
The Historian , Elizabeth Kostova ," July 3, 2005",
The History of Rome Hanks , Joseph S. Pennell ," September 10, 1944",
The Hit , David Baldacci ," May 12, 2013",
The Holcroft Covenant , Robert Ludlum ," July 9, 1978",
The Hollow Hills , Mary Stewart ," September 9, 1973",
The Honorary Consul , Graham Greene ," November 25, 1973",
The Horse Whisperer , Nicholas Evans ," October 1, 1995",
The Host , Stephenie Meyer ," May 25, 2008",
The Hostage , W. E. B. Griffin ," January 22, 2006",
The Hotel New Hampshire , John Irving ," September 27, 1981",
The House , Danielle Steel ," March 19, 2006",
The House on Hope Street , Danielle Steel ," July 16, 2000",
The Hucksters , Frederic Wakeman ," July 14, 1946",
The Husband , Dean Koontz ," June 18, 2006",
The Icarus Agenda , Robert Ludlum ," March 20, 1988",
The Ides of March , Thornton Wilder ," April 4, 1948",
The Inner Circle , Brad Meltzer ," January 30, 2011",
The Innocent , David Baldacci ," May 6, 2012",
The Invention of Wings , Sue Monk Kidd ," January 26, 2014",
The Jester , James Patterson and Andrew Gross ," March 23, 2003",
The Jungle , Clive Cussler with Jack Du Brul ," March 27, 2011",
The Key to Rebecca , Ken Follett ," October 19, 1980",
The Keys to the Kingdom , A.J. Cronin ," August 4, 1941",
The King , J.R. Ward ," April 20, 2014",
The King of Torts , John Grisham ," February 23, 2003",
The King's General , Daphne du Maurier ," February 3, 1946",
The Kiss , Danielle Steel ," November 11, 2001",
The Kitchen God's Wife , Amy Tan ," July 7, 1991",
The Klone and I , Danielle Steel ," July 12, 1998",
The Lake House , James Patterson ," June 29, 2003",
The Land of the Painted Caves , Jean M. Auel ," April 17, 2011",
The Last Adam , James G. Cozzens ," January 16, 1933",
The Last Enchantment , Mary Stewart ," September 9, 1979",
The Last Hurrah , Edwin O'Connor ," March 25, 1956",
The Last Juror , John Grisham ," February 22, 2004",
The Last Man , Vince Flynn ," December 2, 2012","Mullholland Books/Little, Brown) "
The Last Mile , David Baldacci ," May 8, 2016",
The Last of the Just , Andre Schwarz,Bart (Atheneum) ,
The Last Patriot , Brad Thor ," July 20, 2008",
The Last Precinct , Patricia Cornwell ," November 5, 2000",
The Last Puritan , George Santayana ," February 10, 1936",
The Last Song , Nicholas Sparks ," September 27, 2009",
The Late Show , Michael Connelly ," August 6, 2017",
The Lincoln Lawyer , Michael Connelly ," October 23, 2005",
The Litigators , John Grisham ," November 13, 2011",Hyperion) 
The Little Drummer Girl , John le Carré ," March 20, 1983",
The Long Road Home , Danielle Steel ," April 26, 1998",
The Long Way Home , Louise Penny ," September 14, 2014",
The Longest Ride , Nicolas Sparks ," October 6, 2013",
The Lost Symbol , Dan Brown ," October 4, 2009",
The Lost World , Michael Crichton ," October 8, 1995",
The Lost Years , Mary Higgins Clark ," April 22, 2012",
The Love Machine , Jacqueline Susann ," June 22, 1969",
The Lovely Bones , Alice Sebold ," August 18, 2002",
The Lucky One , Nicholas Sparks ," October 19, 2008",
The Magician's Land , Lev Grossman ," August 24, 2014",
The Mammoth Hunters , Jean M. Auel ," November 24, 1985",
The Man From St. Petersburg , Ken Follett ," June 6, 1982",
The Mark , Tim LaHaye and Jerry B. Jenkins ," December 3, 2000",
The Matarese Circle , Robert Ludlum ," April 8, 1979",
The Mermaid Chair , Sue Monk Kidd ," June 26, 2005",
The Midnight Line , Lee Child ," November 26, 2017",
The Mistress , Danielle Steel ," January 22, 2017",
The Moneychangers , Arthur Hailey ," May 4, 1975",
The Moneyman , Thomas Costain ," August 17, 1947",
The Moon Is Down , John Steinbeck ," March 23, 1942",
The Murder House , James Patterson with David Ellis ," October 18, 2015",
The Naked and the Dead , Norman Mailer ," June 20, 1948",
The Name of the Rose , Umberto Eco ," August 7, 1983",
The Nannie Diaries , Emma McLaughlin and Nicola Kraus ," April 28, 2002",
The Nazarene , Sholem Asch ," December 18, 1939",
The Next Person You Meet in Heaven , Mitch Albom ," October 28, 2018",
The Obsession , Nora Roberts ," May 1, 2016",
The Ocean at the End of the Lane , Neil Gaiman ," July 7, 2013",
The Odessa File , Frederick Forsyth ," March 25, 1973",
The Omen Machine , Terry Goodkind ," September 4, 2011",
The One and Only , Emily Giffin ," June 8, 2014",
The Oppermanns , Lion Feuchtwanger ," April 2, 1934",
The Other Woman , Daniel Silva ," August 5, 2018",
The Outsider , Stephen King ," June 10, 2018",
The Outward Room , Millen Brand ," May 17, 1937",
The Overton Window , Glenn Beck ," July 4, 2010",
The Panther , Nelson DeMille ," November 4, 2012",
The Parasites , Daphne du Maurier ," February 19, 1950",
The Parsifal Mosaic , Robert Ludlum ," March 21, 1982",
The Partner , John Grisham ," March 16, 1997",
The Passions of the Mind , Irving Stone ," April 25, 1971",
The Path of Daggers , Robert Jordan ," November 8, 1998",
The Pelican Brief , John Grisham ," March 15, 1992",
The People vs. Alex Cross , James Patterson ," December 10, 2017",
The Plains of Passage , Jean M. Auel ," October 21, 1990",
The Postcard Killers , James Patterson and Liza Marklund ," September 5, 2010",
The President Is Missing , James Patterson and Bill Clinton ," June 24, 2018",
The Prodigal Daughter , Jeffrey Archer ," July 4, 1982",
The Prodigal Parents , Sinclair Lewis ," February 7, 1938",
The Prodigal Women , Nancy Hale ," November 2, 1942",
The Queen of the Damned , Anne Rice ," October 30, 1988",
The Quickie , James Patterson and Michael Ledwidge ," July 22, 2007",
The Racketeer , John Grisham ," November 11, 2012",
The Rainmaker , John Grisham ," April 30, 1995",
The Reckoning , John Grisham ," November 11, 2018",
The Rector of Justin , Louis Auchincloss ," October 4, 1964",
The Rembrandt Affair , Daniel Silva ," August 8, 2010",
The Remnant , Tim LaHaye and Jerry B. Jenkins ," July 21, 2002",
The Rescue , Nicholas Sparks ," October 15, 2000",
The Return of the Jedi , Joan D. Vinge ," June 12, 1983",
The Reversal , Michael Connelly ," October 24, 2010",
The Rising , Tim LaHaye and Jerry B. Jenkins ," April 3, 2005",
The Rising Sea , Clive Cussler and Graham Brown ," April 1, 2018",
The Robe , Lloyd C. Douglas ," December 21, 1942",
The Rooster Bar , John Grisham ," November 12, 2017",
The Runaway Jury , John Grisham ," June 2, 1996",
The Russia House , John le Carré ," June 11, 1989",
The Salzburg Connection , Helen MacInnes ," November 10, 1968",
The Sands of Time , Sidney Sheldon ," November 20, 1988",
The Satanic Verses , Salman Rushdie ," March 26, 1989",
The Scapegoat , Daphne du Maurier ," March 24, 1957",
The Scarecrow , Michael Connelly ," June 14, 2009",
The Search , Nora Roberts ," July 25, 2010",
The Secret of Santa Vittoria , Robert Crichton ," November 20, 1966",
The Secret Pilgrim , John le Carré ," January 20, 1991",
The Seeress of Kell , David Eddings ,Ballantine) ,
The Shadow of Your Smile , Mary Higgins Clark ," May 2, 2010",
The Sheltered Life , Ellen Glasgow ," September 12, 1932",
The Shelters of Stone , Jean M. Auel ," May 19, 2002",
The Shoes of the Fisherman , Morris West ," June 30, 1963",
The Sicilian , Mario Puzo ," January 20, 1985",
The Silent Patient , Alex Michaelides ," February 24, 2019",
The Silmarillion , J.R.R. Tolkien ," October 2, 1977",
The Silver Chalice , Thomas Costain ," September 7, 1952",
The Sixth Man , David Baldacci ," May 8, 2011",
The Song of Bernadette , Franz Werfel ," July 20, 1942",
The Source , James Michener ," July 11, 1965",
The Spy Who Came in from the Cold , John le Carré ,McCann) ,
The Stand , Stephen King ," May 13, 1990",
The Stars Shine Down , Sidney Sheldon ," October 18, 1992",
The Store , T.S. Stribling ," May 22, 1933",
The Storm , Clive Cussler and Graham Brown ," June 17, 2012",
The Story of Edgar Sawtelle , David Wroblewski ," October 5, 2008",
The Storyteller , Jodi Picoult ," March 31, 2013",
The Street Lawyer , John Grisham ," February 22, 1998",
The Sum of All Fears , Tom Clancy ," August 25, 1991",
The Summons , John Grisham ," February 24, 2002",
The Survivor , Kyle Mills ," October 25, 2015",
The Tale of the Body Thief , Anne Rice ," October 25, 1992",
The Talisman , Stephen King and Peter Straub ," October 28, 1984",
The Target , David Baldacci ," May 11, 2014",
The Teeth of the Tiger , Tom Clancy ," August 31, 2003",
The Ten Commandments , Warwick Deeping ," October 12, 1931",
The Testament , John Grisham ," February 21, 1999",
The Thief , Clive Cussler and Justin Scott ," March 25, 2012",
The Thin Man , Dashiell Hammett ," January 15, 1934",
The Thirteenth Tale , Diane Setterfield ," October 1, 2006",
The Thorn Birds , Colleen McCullough ," June 19, 1977",
The Time Keeper , Mitch Albom ," September 23, 2012",
The Tommyknockers , Stephen King ," November 29, 1987",
The Undead Pool , Kim Harrison ," March 16, 2014",
The Underground Railroad , Colson Whitehead ," August 28, 2016",
The Valley of Decision , Marcia Davenport ," November 23, 1942",
The View from Pompey's Head , Hamilton Basso ," January 2, 1955",
The Wall , John Hersey ," March 26, 1950",
The Weather In the Streets , Rosamond Lehmann ," June 1, 1936",
The Wedding , Danielle Steel ," April 23, 2000",
The Werewolf of Paris , Guy Endore ," April 17, 1933",
The Whistler , John Grisham ," November 13, 2016",
The Whole Truth , David Baldacci ," May 11, 2008",
The Wind Through the Keyhole , Stephen King ," May 13, 2012",
The Winds of War , Herman Wouk ," January 16, 1972",
The Wise Man's Fear , Patrick Rothfuss ," March 20, 2011",
The Woman in the Window , A.J. Finn ," January 21, 2018",
The Word , Irving Wallace ," May 14, 1972",
The Yearling , Marjorie Kinnan Rawlings ," May 16, 1938",
The Years , Virginia Woolf ," May 3, 1937",
The Young Lions , Irwin Shaw ," November 7, 1948",
Theatre , Somerset Maugham ," March 22, 1937",
Thinner , Richard Bachman ," April 28, 1985",
This Above All , Eric Knight ," April 28, 1941",
This Side of Innocence , Taylor Caldwell ," May 12, 1946",
Thrawn: Alliances , Timothy Zahn ," August 12, 2018",
Threat Vector , Tom Clancy with Mark Greaney ," December 23, 2012",
Three Fates , Nora Roberts ," April 21, 2002",
Tick Tock , James Patterson and Michael Ledwidge ," February 13, 2011",
"Tinker, Tailor, Soldier, Spy ", John le Carré ," August 4, 1974",
To the Nines , Janet Evanovich ," August 3, 2003",
Top Secret Twenty,,One - Janet Evanovich (Bantam) ,
Topaz , Leon Uris ," October 15, 1967",
Towers of Midnight , Robert Jordan and Brandon Sanderson ," November 21, 2010",
Toys , James Patterson and Neil McMahon ," April 3, 2011",
Trace , Patricia Cornwell ," September 26, 2004",
Treachery In Death , J.D. Robb ," March 13, 2011",
Tribute , Nora Roberts ," July 27, 2008",
Tricky Twenty,,Two - Janet Evanovich (Bantam) ,
Trinity , Leon Uris ," June 13, 1976",
Triple , Ken Follett ," December 9, 1979",
True Believer , Nicholas Sparks ," May 1, 2005",
True Detectives , Jonathan Kellerman ," April 12, 2009",
Truly Madly Guilty , Liane Moriarty ," August 14, 2016",
Turbo Twenty,,Three - Janet Evanovich (Bantam) ,
Turn Coat , Jim Butcher ," April 26, 2009",
Twelve Sharp , Janet Evanovich ," July 9, 2006",
Twilight on the Floods , Marguerite Steen ," September 11, 1949",
Twisted Prey , John Sandford ," May 13, 2018",
Two , Two ," October 23, 2016",
Two Little Girls In Blue , Mary Higgins Clark ," April 23, 2006",
U Is For Undertow , Sue Grafton ," December 20, 2009",
Unaccustomed Earth , Jhumpa Lahiri ," April 20, 2008",
Under the Dome , Stephen King ," November 29, 2009",
Unlucky 13 , James Patterson and Maxine Paetro ," May 25, 2014",
Unnatural Exposure , Patricia Cornwell ," August 3, 1997",
Until the End of Time , Danielle Steel ," February 17, 2013",
Up the Down Staircase , Bel Kaufman ," May 16, 1965",
Valhalla Rising , Clive Cussler ," September 2, 2001",
Valley of the Dolls , Jacqueline Susann ," May 8, 1966",
Vanished , Fletcher Knebel ," March 31, 1968",
Vein of Iron , Ellen Glasgow ," September 9, 1935",
W Is For Wasted , Sue Grafton ," September 29, 2013",
Wanderlust , Danielle Steel ," July 20, 1986",
War and Remembrance , Herman Wouk ," November 12, 1978",
Watership Down , Richard Adams ," May 5, 1974",
We'll Meet Again , Mary Higgins Clark ," May 9, 1999",
What the Night Knows , Dean Koontz ," January 16, 2011",
Wheels , Arthur Hailey ," November 7, 1971",
Where Are You Now? , Mary Higgins Clark ," April 27, 2008",
Where Is Joe Merchant? , Jimmy Buffett ," September 20, 1992",
Where the Crawdads Sing , Delia Owens ," January 20, 2019",
While My Pretty Once Sleeps , Mary Higgins Clark ," May 28, 1989",
Whirlwind , James Clavell ," November 23, 1986",
Whiskey Beach , Nora Roberts ," May 5, 2013",
Who Killed the Robins Family? , Bill Adler and Thomas Chastain ," January 29, 1984",
Wicked Business , Janet Evanovich ," July 8, 2012",
Wicked Prey , John Sandford ," May 31, 2009",
Wickford Point , John P. Marquand ," April 3, 1939",
Windmills of the Gods , Sidney Sheldon ," February 8, 1987",
Windswept , Mary Ellen Chase ," December 15, 1941",
Winter of the World , Ken Follett ," October 7, 2012",
Winter Solstice , Rosamunde Pilcher ," August 20, 2000",
Winter's Heart , Robert Jordan ," November 26, 2000",
Without Remorse , Tom Clancy ," August 29, 1993",
Woman of God , James Patterson and Maxine Paetro ," October 16, 2016",
Words of Radiance , Brandon Sanderson ," March 23, 2014",Emily Bestler/Atria) 
Work of Art , Sinclair Lewis ," February 5, 1934",
World Without End , Ken Follett ," October 28, 2007",
Worst Case , James Patterson and Michael Ledwidge ," February 21, 2010",
Worth Dying For , Lee Child ," November 7, 2010",
Written In My Own Heart's Blood , Diana Gabaldon ," June 29, 2014",
X , Sue Grafton ," September 13, 2015",
Y Is For Yesterday , Sue Grafton ," September 10, 2017",
You Belong To Me , Mary Higgins Clark ," May 10, 1998",
You Can't Go Home Again , Thomas Wolfe ," September 30, 1940",
You've Been Warned , James Patterson and Howard Roughan ," September 30, 2007",
Young Renny , Mazo De La Roche ," June 10, 1935",
Zero Day , David Baldacci ," November 20, 2011",
Zoya , Danielle Steel ," May 15, 1988",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,NAL Books) 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
